year,quarter,state_name,total_transactions_count,total_transactions_amount
2020,4,chhattisgarh,3757,2249901.0
2020,4,jammu & kashmir,647,734861.0
2020,4,goa,614,682364.0
2020,4,arunachal pradesh,125,84247.0
2020,4,delhi,9725,8045442.0
2020,4,uttarakhand,1756,1961891.0
2021,1,puducherry,372,351827.0
2021,1,tamil nadu,14406,11180849.0
2021,1,uttar pradesh,24103,18027573.0
2021,1,madhya pradesh,14427,5567927.0
2021,1,andhra pradesh,22105,12749874.0
2021,1,tripura,360,191531.0
2021,1,lakshadweep,4,5225.0
2021,1,manipur,136,72254.0
2021,1,maharashtra,55792,33137753.0
2021,1,dadra & nagar haveli & daman & diu,467,285691.0
2021,1,meghalaya,107,128776.0
2021,1,andaman & nicobar islands,225,244266.0
2021,1,haryana,11038,7297880.0
2021,1,rajasthan,17800,8074225.0
2021,1,ladakh,32,34530.0
2021,1,punjab,3783,2558380.0
2021,1,assam,3167,2334419.0
2021,1,jharkhand,4879,3274851.0
2021,1,odisha,8236,4383330.0
2021,1,bihar,12554,8796619.0
2021,1,kerala,5731,5040506.0
2021,1,karnataka,37595,30183325.0
2021,1,chandigarh,338,238576.0
2021,1,telangana,28298,14810947.0
2021,1,himachal pradesh,1064,906492.0
2021,1,west bengal,15488,11172042.0
2021,1,gujarat,12673,7288104.0
2021,1,sikkim,122,111777.0
2021,1,nagaland,79,42973.0
2021,1,mizoram,415,302841.0
2021,1,chhattisgarh,4712,2620468.0
2021,1,jammu & kashmir,1105,1546288.0
2021,1,goa,879,827384.0
2021,1,arunachal pradesh,194,131611.0
2021,1,delhi,12822,9655261.0
2021,1,uttarakhand,2607,2719327.0
2021,2,puducherry,526,508277.0
2021,2,tamil nadu,17682,16444344.0
2021,2,uttar pradesh,25952,25137571.0
2021,2,madhya pradesh,14803,9787391.0
2021,2,andhra pradesh,33205,22730687.0
2021,2,tripura,381,409934.0
2021,2,lakshadweep,5,6962.0
2021,2,manipur,127,81332.0
2021,2,maharashtra,70381,46763103.0
2021,2,dadra & nagar haveli & daman & diu,368,275638.0
2021,2,meghalaya,139,148434.0
2021,2,andaman & nicobar islands,137,181504.0
2021,2,haryana,12516,11272453.0
2021,2,rajasthan,18281,14357445.0
2021,2,ladakh,46,86251.0
2021,2,punjab,4047,3768919.0
2021,2,assam,3265,3008122.0
2021,2,jharkhand,5180,5084230.0
2021,2,odisha,7942,5832924.0
2021,2,bihar,14301,13301581.0
2021,2,kerala,9530,9676588.0
2021,2,karnataka,40969,39501006.0
2021,2,chandigarh,378,310943.0
2021,2,telangana,28870,20935651.0
2021,2,himachal pradesh,1210,1402338.0
2021,2,west bengal,15200,12396029.0
2021,2,gujarat,14676,10263998.0
2021,2,sikkim,93,122064.0
2021,2,nagaland,85,139479.0
2021,2,mizoram,187,124805.0
2021,2,chhattisgarh,5055,3813417.0
2021,2,jammu & kashmir,1197,1832089.0
2021,2,goa,1016,1028339.0
2021,2,arunachal pradesh,204,224928.0
2021,2,delhi,13292,10840929.0
2021,2,uttarakhand,2742,3265717.0
2021,3,puducherry,561,556442.0
2021,3,tamil nadu,23107,23402918.0
2021,3,uttar pradesh,32799,32641118.0
2021,3,madhya pradesh,11990,7806258.0
2021,3,andhra pradesh,23075,19914338.0
2021,3,tripura,494,649961.0
2021,3,lakshadweep,19,16034.0
2021,3,manipur,111,133016.0
2021,3,maharashtra,52268,41313307.0
2021,3,dadra & nagar haveli & daman & diu,360,273596.0
2021,3,meghalaya,139,214554.0
2021,3,andaman & nicobar islands,230,305235.0
2021,3,haryana,14163,13215898.0
2021,3,rajasthan,16643,12793862.0
2021,3,ladakh,192,174052.0
2021,3,punjab,4887,5271559.0
2021,3,assam,4495,6010865.0
2021,3,jharkhand,6794,7046048.0
2021,3,odisha,7967,6008686.0
2021,3,bihar,18030,18234941.0
2021,3,kerala,10926,13255646.0
2021,3,karnataka,47468,48078366.0
2021,3,chandigarh,494,469634.0
2021,3,telangana,27080,20925217.0
2021,3,himachal pradesh,1759,2444545.0
2021,3,west bengal,24839,21424337.0
2021,3,gujarat,15348,12341903.0
2021,3,sikkim,106,140552.0
2021,3,nagaland,91,123643.0
2021,3,mizoram,81,83641.0
2021,3,chhattisgarh,4676,3568837.0
2021,3,jammu & kashmir,1452,2139133.0
2021,3,goa,1214,1385986.0
2021,3,arunachal pradesh,212,371051.0
2021,3,delhi,16679,15007079.0
2021,3,uttarakhand,4111,4646571.0
2021,4,puducherry,786,946607.0
2021,4,tamil nadu,33037,42184290.0
2021,4,uttar pradesh,44132,59654951.0
2021,4,madhya pradesh,15069,17524432.0
2021,4,andhra pradesh,25423,31610335.0
2021,4,tripura,702,1022508.0
2021,4,lakshadweep,11,17096.0
2021,4,manipur,145,271789.0
2021,4,maharashtra,82423,93262227.0
2021,4,dadra & nagar haveli & daman & diu,421,425384.0
2021,4,meghalaya,263,451612.0
2021,4,andaman & nicobar islands,757,1056380.0
2021,4,haryana,19489,25885838.0
2021,4,rajasthan,19375,24455262.0
2021,4,ladakh,76,195966.0
2021,4,punjab,6638,9912828.0
2021,4,assam,8622,13962068.0
2021,4,jharkhand,8465,11190423.0
2021,4,odisha,9093,10941626.0
2021,4,bihar,22456,27313813.0
2021,4,kerala,19199,31260319.0
2021,4,karnataka,74436,90723288.0
2021,4,chandigarh,710,835813.0
2021,4,telangana,34848,38845492.0
2021,4,himachal pradesh,2474,4667661.0
2021,4,west bengal,26320,31282871.0
2021,4,gujarat,19142,23282921.0
2021,4,sikkim,195,503532.0
2021,4,nagaland,183,341424.0
2021,4,mizoram,100,175847.0
2021,4,chhattisgarh,6029,8229039.0
2021,4,jammu & kashmir,3113,5223317.0
2021,4,goa,2087,2737316.0
2021,4,arunachal pradesh,320,598459.0
2021,4,delhi,34251,36578331.0
2021,4,uttarakhand,5529,7849020.0
2022,1,puducherry,1199,1663404.0
2022,1,tamil nadu,47621,64969045.0
2022,1,uttar pradesh,45996,73014969.0
2022,1,madhya pradesh,13791,19901462.0
2022,1,andhra pradesh,29954,42648157.0
2022,1,tripura,907,1493401.0
2022,1,lakshadweep,27,34664.0
2022,1,manipur,177,517854.0
2022,1,maharashtra,88015,117411928.0
2022,1,dadra & nagar haveli & daman & diu,493,720741.0
2022,1,meghalaya,337,729211.0
2022,1,andaman & nicobar islands,768,1131287.0
2022,1,haryana,22783,32526943.0
2022,1,rajasthan,21517,31576932.0
2022,1,ladakh,75,193935.0
2022,1,punjab,7475,13155682.0
2022,1,assam,16230,27447766.0
2022,1,jharkhand,9373,13819466.0
2022,1,odisha,9627,14539309.0
2022,1,bihar,20253,27755736.0
2022,1,kerala,37110,64172190.0
2022,1,karnataka,95640,130733580.0
2022,1,chandigarh,792,1150932.0
2022,1,telangana,36325,51942016.0
2022,1,himachal pradesh,2768,5234739.0
2022,1,west bengal,38779,51160527.0
2022,1,gujarat,22221,29953433.0
2022,1,sikkim,239,685987.0
2022,1,nagaland,242,529223.0
2022,1,mizoram,85,189428.0
2022,1,chhattisgarh,6612,10139190.0
2022,1,jammu & kashmir,3584,7244267.0
2022,1,goa,2634,3865245.0
2022,1,arunachal pradesh,355,894107.0
2022,1,delhi,28232,35442069.0
2022,1,uttarakhand,5339,8824948.0
2022,2,puducherry,1156,1597786.0
2022,2,tamil nadu,46714,61835120.0
2022,2,uttar pradesh,55133,77434953.0
2022,2,madhya pradesh,14629,20159098.0
2022,2,andhra pradesh,32185,41708072.0
2022,2,tripura,1021,1509105.0
2022,2,lakshadweep,18,27463.0
2022,2,manipur,218,553649.0
2022,2,maharashtra,80935,104603934.0
2022,2,dadra & nagar haveli & daman & diu,438,686857.0
2022,2,meghalaya,379,789094.0
2022,2,andaman & nicobar islands,501,779740.0
2022,2,haryana,25352,33759068.0
2022,2,rajasthan,24333,33748931.0
2022,2,ladakh,113,269446.0
2022,2,punjab,9175,15465367.0
2022,2,assam,9228,15357811.0
2022,2,jharkhand,9477,13464840.0
2022,2,odisha,12371,16631095.0
2022,2,bihar,21892,28212833.0
2022,2,kerala,35667,59920203.0
2022,2,karnataka,93385,123228632.0
2022,2,chandigarh,1330,1874959.0
2022,2,telangana,45600,58056956.0
2022,2,himachal pradesh,2831,5371078.0
2022,2,west bengal,33542,41737021.0
2022,2,gujarat,25381,32090965.0
2022,2,sikkim,160,383709.0
2022,2,nagaland,186,380878.0
2022,2,mizoram,76,115090.0
2022,2,chhattisgarh,7008,10119964.0
2022,2,jammu & kashmir,4071,7729792.0
2022,2,goa,3524,5093510.0
2022,2,arunachal pradesh,564,1360231.0
2022,2,delhi,26378,31787281.0
2022,2,uttarakhand,5773,9168313.0
2022,3,puducherry,1585,2025529.0
2022,3,tamil nadu,64356,79747520.0
2022,3,uttar pradesh,64514,87703512.0
2022,3,madhya pradesh,22733,29185118.0
2022,3,andhra pradesh,39301,48791931.0
2022,3,tripura,1590,2105984.0
2022,3,lakshadweep,38,41504.0
2022,3,manipur,200,403213.0
2022,3,maharashtra,90958,113835208.0
2022,3,dadra & nagar haveli & daman & diu,707,983776.0
2022,3,meghalaya,600,1039491.0
2022,3,andaman & nicobar islands,643,902466.0
2022,3,haryana,35346,45402800.0
2022,3,rajasthan,33975,45565544.0
2022,3,ladakh,137,369742.0
2022,3,punjab,12370,19381895.0
2022,3,assam,14149,22543564.0
2022,3,jharkhand,14388,18156857.0
2022,3,odisha,18898,23308531.0
2022,3,bihar,28511,34704251.0
2022,3,kerala,54587,85390924.0
2022,3,karnataka,110273,144605784.0
2022,3,chandigarh,1533,1998439.0
2022,3,telangana,51465,64798126.0
2022,3,himachal pradesh,3641,6161692.0
2022,3,west bengal,47853,59092307.0
2022,3,gujarat,31302,37557227.0
2022,3,sikkim,243,474940.0
2022,3,nagaland,210,439669.0
2022,3,mizoram,310,471306.0
2022,3,chhattisgarh,8849,12119470.0
2022,3,jammu & kashmir,4794,8281826.0
2022,3,goa,3157,4142108.0
2022,3,arunachal pradesh,510,1300304.0
2022,3,delhi,35944,41570160.0
2022,3,uttarakhand,6784,10070172.0
2022,4,puducherry,2331,2693130.0
2022,4,tamil nadu,125491,146457790.0
2022,4,uttar pradesh,77022,116755813.0
2022,4,madhya pradesh,29234,42712883.0
2022,4,andhra pradesh,44329,58043239.0
2022,4,tripura,1508,2112534.0
2022,4,lakshadweep,15,27135.0
2022,4,manipur,271,620655.0
2022,4,maharashtra,125900,174915648.0
2022,4,dadra & nagar haveli & daman & diu,871,1272628.0
2022,4,meghalaya,627,1189529.0
2022,4,andaman & nicobar islands,901,1441210.0
2022,4,haryana,37971,56627115.0
2022,4,rajasthan,40926,60792838.0
2022,4,ladakh,162,410091.0
2022,4,punjab,12187,21727831.0
2022,4,assam,18826,29239168.0
2022,4,jharkhand,16779,23147805.0
2022,4,odisha,24538,33565401.0
2022,4,bihar,33895,43914519.0
2022,4,kerala,65563,103982997.0
2022,4,karnataka,133971,185063287.0
2022,4,chandigarh,1403,2024528.0
2022,4,telangana,64655,88544127.0
2022,4,himachal pradesh,4565,9060436.0
2022,4,west bengal,54277,70466433.0
2022,4,gujarat,36418,50629325.0
2022,4,sikkim,306,667214.0
2022,4,nagaland,367,700864.0
2022,4,mizoram,350,612551.0
2022,4,chhattisgarh,11994,18137856.0
2022,4,jammu & kashmir,5031,10111183.0
2022,4,goa,4388,6190669.0
2022,4,arunachal pradesh,613,1464572.0
2022,4,delhi,48908,60603173.0
2022,4,uttarakhand,8750,13817747.0
